# iteration,num_successes,avg_reward,avg_steps,avg_time,policy_reward,avg_dist_to_parking
1.000000000000000000e+02,0.000000000000000000e+00,-1.003583263023002928e+03,2.757999999999998764e+01,2.877909660339354053e-02,-2.549509756796392423e+02,1.627739060190733866e+01
2.000000000000000000e+02,0.000000000000000000e+00,-9.640735991273116952e+02,2.944999999999999929e+01,3.080779790878295302e-02,-2.549509756796392423e+02,1.633142350600746084e+01
3.000000000000000000e+02,0.000000000000000000e+00,-8.558190676174727969e+02,3.200999999999999801e+01,3.331060647964476790e-02,-2.549509756796392423e+02,1.660994786306935111e+01
4.000000000000000000e+02,1.000000000000000000e+00,-9.269710684852002487e+02,3.039000000000000412e+01,3.162509202957152626e-02,-3.585650205387863139e+02,1.661968586177875906e+01
5.000000000000000000e+02,0.000000000000000000e+00,-9.615802761141538895e+02,2.861999999999998678e+01,2.981689214706422647e-02,-2.549509756796392423e+02,1.708434564516434406e+01
6.000000000000000000e+02,1.000000000000000000e+00,-9.196636071874264644e+02,3.105999999999999162e+01,3.242455959320068859e-02,-1.211002470201573260e+03,1.646438536990466517e+01
7.000000000000000000e+02,1.000000000000000000e+00,-9.541271893700493365e+02,2.906999999999999673e+01,3.031556606292724540e-02,-2.109996185752406177e+02,1.640858325465316625e+01
8.000000000000000000e+02,1.000000000000000000e+00,-8.452488907128509936e+02,3.257999999999999119e+01,3.411930799484250848e-02,-2.549509756796392423e+02,1.650756724269952613e+01
9.000000000000000000e+02,1.000000000000000000e+00,-9.988460823545806306e+02,2.714000000000000057e+01,2.825213670730590196e-02,-2.549509756796392423e+02,1.725565356676758455e+01
1.000000000000000000e+03,1.000000000000000000e+00,-9.342034229622082648e+02,2.836000000000000654e+01,2.962880373001098439e-02,-2.549509756796392423e+02,1.696393121918920954e+01
1.100000000000000000e+03,1.000000000000000000e+00,-9.270344994299476866e+02,3.091999999999998394e+01,3.216575860977172879e-02,-1.193044776425519785e+03,1.693186591935006646e+01
1.200000000000000000e+03,1.000000000000000000e+00,-1.050867414587694839e+03,2.471999999999999531e+01,2.575023412704468065e-02,-2.549509756796392423e+02,1.737181250279096645e+01
1.300000000000000000e+03,0.000000000000000000e+00,-9.166524544525766487e+02,2.912999999999998479e+01,3.029444456100463881e-02,-1.080341490076213177e+03,1.658714616517933038e+01
1.400000000000000000e+03,0.000000000000000000e+00,-9.594261753686602106e+02,2.944999999999998863e+01,3.068353176116943304e-02,-2.549509756796392423e+02,1.686248890435295422e+01
1.500000000000000000e+03,2.000000000000000000e+00,-8.375405013229820952e+02,3.076999999999999602e+01,3.197154998779296042e-02,-2.549509756796392423e+02,1.656513837136570899e+01
1.600000000000000000e+03,0.000000000000000000e+00,-9.845196626247562790e+02,2.827999999999998337e+01,2.942947864532470537e-02,-2.549509756796392423e+02,1.638620744131315732e+01
1.700000000000000000e+03,0.000000000000000000e+00,-8.741058198730685262e+02,3.156999999999997186e+01,3.280721902847290317e-02,-2.549509756796392423e+02,1.734691621138011541e+01
1.800000000000000000e+03,0.000000000000000000e+00,-8.768699924777722572e+02,2.997999999999997911e+01,3.110124588012696742e-02,-2.549509756796392423e+02,1.667400596104330646e+01
1.900000000000000000e+03,1.000000000000000000e+00,-8.850004288644432791e+02,3.085999999999997812e+01,3.203097820281981811e-02,-2.549509756796392423e+02,1.669888318429743634e+01
