# iteration,num_successes,avg_reward,avg_steps,avg_time,policy_reward,avg_dist_to_parking
1.000000000000000000e+02,0.000000000000000000e+00,-9.380040898523798205e+02,2.910999999999999943e+01,3.049413204193116012e-02,-1.194694275251099043e+03,1.674625911394756628e+01
2.000000000000000000e+02,0.000000000000000000e+00,-9.712528456852674026e+02,2.735999999999999943e+01,2.862190961837769027e-02,-2.549509756796392423e+02,1.604743419894393242e+01
3.000000000000000000e+02,2.000000000000000000e+00,-9.171923480241846391e+02,3.005999999999998096e+01,3.141848564147949746e-02,-1.192500399177660256e+03,1.583044145643420109e+01
4.000000000000000000e+02,0.000000000000000000e+00,-9.316491865126162111e+02,2.912999999999997769e+01,3.057572603225709729e-02,-1.190464190852399270e+03,1.709252032076839356e+01
5.000000000000000000e+02,1.000000000000000000e+00,-9.250038287453171506e+02,3.051999999999999247e+01,3.206022977828980325e-02,-2.549509756796392423e+02,1.648025460862268687e+01
6.000000000000000000e+02,0.000000000000000000e+00,-9.471947637131160036e+02,2.892999999999999616e+01,3.042257785797118294e-02,-2.134569027296146260e+02,1.563733218360126287e+01
7.000000000000000000e+02,3.000000000000000000e+00,-8.971604276450027555e+02,2.942000000000000526e+01,3.099853277206421689e-02,-2.549509756796392423e+02,1.593400817639755296e+01
8.000000000000000000e+02,1.000000000000000000e+00,-9.390972122113034857e+02,2.744000000000000483e+01,2.892154932022095865e-02,-2.549509756796392423e+02,1.691901813203458360e+01
9.000000000000000000e+02,0.000000000000000000e+00,-9.141500714933181371e+02,3.122999999999999687e+01,3.273916244506836631e-02,-2.549509756796392423e+02,1.635670290765801838e+01
1.000000000000000000e+03,0.000000000000000000e+00,-1.003254781477080314e+03,2.698000000000000398e+01,2.842712640762327589e-02,-1.194694275251099043e+03,1.724533015731289609e+01
1.100000000000000000e+03,0.000000000000000000e+00,-9.443617613584308401e+02,3.063999999999998280e+01,3.213370561599732111e-02,-2.549509756796392423e+02,1.643186736255559666e+01
1.200000000000000000e+03,2.000000000000000000e+00,-9.423813508763525988e+02,2.808999999999998920e+01,2.945887327194215283e-02,-2.549509756796392423e+02,1.723146226508971068e+01
1.300000000000000000e+03,2.000000000000000000e+00,-8.689003032174224472e+02,3.089999999999998082e+01,3.248614549636840571e-02,-1.188655105462854863e+03,1.693932553327690727e+01
1.400000000000000000e+03,0.000000000000000000e+00,-9.860038770559822296e+02,2.812999999999999901e+01,2.952131986618042325e-02,-2.549509756796392423e+02,1.752052031865586912e+01
1.500000000000000000e+03,1.000000000000000000e+00,-9.440141528160676216e+02,2.919000000000000483e+01,3.064523696899415506e-02,-1.103258775567130897e+03,1.661322000641729346e+01
1.600000000000000000e+03,0.000000000000000000e+00,-9.459899779780377003e+02,2.847999999999999332e+01,2.985307216644285735e-02,-2.549509756796392423e+02,1.653330983129792742e+01
1.700000000000000000e+03,0.000000000000000000e+00,-9.397337009108601933e+02,3.043999999999999417e+01,3.191515445709227489e-02,-2.549509756796392423e+02,1.690218627478509816e+01
1.800000000000000000e+03,0.000000000000000000e+00,-9.489376253464288311e+02,2.977000000000000313e+01,3.134862661361694641e-02,-2.549509756796392423e+02,1.682398265416444971e+01
1.900000000000000000e+03,0.000000000000000000e+00,-9.495033791759253745e+02,2.850999999999999446e+01,2.984057664871216098e-02,-1.074729296012039185e+03,1.689117787189972830e+01
2.000000000000000000e+03,0.000000000000000000e+00,-9.815869059698499086e+02,2.593999999999999773e+01,2.739677667617797935e-02,-2.549509756796392423e+02,1.708148259766965893e+01
2.100000000000000000e+03,0.000000000000000000e+00,-9.457810724415058985e+02,2.865999999999999659e+01,3.015390872955322349e-02,-2.549509756796392423e+02,1.653221274615258451e+01
2.200000000000000000e+03,1.000000000000000000e+00,-9.186533184688379379e+02,3.241999999999998749e+01,3.397929906845094383e-02,-2.549509756796392423e+02,1.667491201949131607e+01
2.300000000000000000e+03,1.000000000000000000e+00,-9.319953753566827572e+02,2.824999999999999645e+01,2.992014169692994163e-02,-2.400444141299053911e+02,1.616830750540736972e+01
2.400000000000000000e+03,1.000000000000000000e+00,-9.665134548492889053e+02,2.744000000000000483e+01,2.874834537506103238e-02,-1.170249077928489442e+03,1.662140215964844714e+01
2.500000000000000000e+03,0.000000000000000000e+00,-9.969137714557994059e+02,2.591999999999998394e+01,2.716458559036254855e-02,-2.549509756796392423e+02,1.662859497199772107e+01
2.600000000000000000e+03,0.000000000000000000e+00,-9.243665583701269952e+02,3.000999999999998735e+01,3.129012107849119678e-02,-2.549509756796392423e+02,1.741453422417968255e+01
2.700000000000000000e+03,2.000000000000000000e+00,-9.339577320398228721e+02,2.829999999999999716e+01,2.969601154327391329e-02,-2.549509756796392423e+02,1.667267735192012168e+01
2.800000000000000000e+03,0.000000000000000000e+00,-9.106423820066169128e+02,3.047999999999999687e+01,3.203223943710328120e-02,-2.549509756796392423e+02,1.698964154891838163e+01
2.900000000000000000e+03,0.000000000000000000e+00,-1.034300578378522687e+03,2.761000000000000298e+01,2.897834539413451926e-02,-1.194694275251099043e+03,1.638659367234273034e+01
3.000000000000000000e+03,0.000000000000000000e+00,-9.475453039450909500e+02,2.736000000000000654e+01,2.874747991561888913e-02,-2.549509756796392423e+02,1.669366184411863685e+01
3.100000000000000000e+03,0.000000000000000000e+00,-9.122559722208551420e+02,2.916999999999998749e+01,3.051501750946045144e-02,-2.549509756796392423e+02,1.814777307655773342e+01
3.200000000000000000e+03,0.000000000000000000e+00,-9.389065197252064081e+02,2.805999999999999162e+01,2.937951326370240313e-02,-2.549509756796392423e+02,1.681446000380383410e+01
3.300000000000000000e+03,1.000000000000000000e+00,-9.307605538542836712e+02,2.930999999999998806e+01,3.062645435333251689e-02,-2.341571392770977695e+02,1.682622369703420162e+01
3.400000000000000000e+03,1.000000000000000000e+00,-9.355431885207627829e+02,2.949999999999999645e+01,3.090291023254393421e-02,-2.549509756796392423e+02,1.564085657968889365e+01
3.500000000000000000e+03,0.000000000000000000e+00,-8.538846383233495771e+02,3.310999999999998522e+01,3.462547540664673990e-02,-2.549509756796392423e+02,1.737316418635850113e+01
3.600000000000000000e+03,1.000000000000000000e+00,-8.915515258597324646e+02,2.918999999999998707e+01,3.063007593154907365e-02,-2.549509756796392423e+02,1.676665976417126203e+01
3.700000000000000000e+03,1.000000000000000000e+00,-9.779168627910303258e+02,2.825999999999998735e+01,2.958107471466065938e-02,-2.549509756796392423e+02,1.625734814923400506e+01
3.800000000000000000e+03,1.000000000000000000e+00,-9.272423656601857829e+02,3.083999999999998209e+01,3.234665155410766657e-02,-2.084206232537794961e+02,1.671755682509310148e+01
3.900000000000000000e+03,1.000000000000000000e+00,-1.005165632056263576e+03,2.724999999999998934e+01,2.858198404312135149e-02,-2.549509756796392423e+02,1.743467792859808085e+01
