# iteration,num_successes,avg_reward,avg_steps,avg_time,policy_reward,avg_dist_to_parking
1.000000000000000000e+02,0.000000000000000000e+00,-9.900951388100758095e+02,2.704999999999999361e+01,2.813032150268554576e-02,-2.500000000000000000e+02,1.599972458286594623e+01
2.000000000000000000e+02,0.000000000000000000e+00,-9.688627314789606544e+02,2.766000000000000369e+01,2.875629425048827070e-02,-2.500000000000000000e+02,1.589055101363953071e+01
3.000000000000000000e+02,2.000000000000000000e+00,-9.538980960243154641e+02,2.825999999999999091e+01,2.960976123809813329e-02,-1.145268748561512666e+03,1.503112501292965497e+01
4.000000000000000000e+02,0.000000000000000000e+00,-9.529253527914232791e+02,2.878999999999998138e+01,2.998452901840210211e-02,-2.500000000000000000e+02,1.635242957507807660e+01
5.000000000000000000e+02,1.000000000000000000e+00,-8.848884470779842104e+02,3.228999999999999204e+01,3.365898847579955333e-02,-2.500000000000000000e+02,1.573440568322563671e+01
6.000000000000000000e+02,0.000000000000000000e+00,-1.010902067336876598e+03,2.689000000000000057e+01,2.817982673645019059e-02,-2.500000000000000000e+02,1.609283542499853326e+01
7.000000000000000000e+02,0.000000000000000000e+00,-9.382427195915780658e+02,3.072999999999998977e+01,3.204887390136718778e-02,-2.500000000000000000e+02,1.584812917817967026e+01
8.000000000000000000e+02,1.000000000000000000e+00,-9.733297675297538945e+02,2.841999999999999105e+01,2.969524621963501310e-02,-2.500000000000000000e+02,1.549915735324496602e+01
9.000000000000000000e+02,0.000000000000000000e+00,-1.043920149321083954e+03,2.610999999999999233e+01,2.753691196441649877e-02,-2.500000000000000000e+02,1.637015992090160310e+01
1.000000000000000000e+03,0.000000000000000000e+00,-9.809628450486532074e+02,2.969999999999999574e+01,3.088246107101440263e-02,-1.230151101840288902e+03,1.523646240889958214e+01
1.100000000000000000e+03,0.000000000000000000e+00,-9.395977012282613714e+02,2.923999999999999133e+01,3.058853149414062292e-02,-2.500000000000000000e+02,1.497456429328723360e+01
1.200000000000000000e+03,1.000000000000000000e+00,-9.464756527407355406e+02,2.979999999999999005e+01,3.110197782516478313e-02,-2.500000000000000000e+02,1.566749452382459573e+01
1.300000000000000000e+03,0.000000000000000000e+00,-8.945976881195927035e+02,3.057999999999999119e+01,3.184775829315184686e-02,-2.500000000000000000e+02,1.558161247840936525e+01
1.400000000000000000e+03,1.000000000000000000e+00,-9.267660286753226728e+02,2.851999999999998536e+01,2.966704607009888056e-02,-2.500000000000000000e+02,1.572463070708148614e+01
1.500000000000000000e+03,2.000000000000000000e+00,-8.721919030896914364e+02,2.979999999999997939e+01,3.102963685989379439e-02,-1.106720275808245560e+03,1.515538712252691766e+01
1.600000000000000000e+03,0.000000000000000000e+00,-9.385458501637020845e+02,3.032999999999999119e+01,3.170448064804077398e-02,-1.198195722371468264e+03,1.587894297679559585e+01
1.700000000000000000e+03,0.000000000000000000e+00,-8.645269003914195309e+02,3.144999999999999218e+01,3.282737493515014426e-02,-2.500000000000000000e+02,1.556256154507685885e+01
1.800000000000000000e+03,0.000000000000000000e+00,-9.177567964373802170e+02,2.946000000000000085e+01,3.063217878341673722e-02,-2.500000000000000000e+02,1.670463152288362352e+01
1.900000000000000000e+03,1.000000000000000000e+00,-9.483311945120400424e+02,2.820999999999999730e+01,2.940696001052856695e-02,-1.200472521381334673e+03,1.594303783221292292e+01
2.000000000000000000e+03,0.000000000000000000e+00,-9.504011851748410891e+02,2.753999999999999204e+01,2.864705324172972870e-02,-2.294478127596680395e+02,1.599984829078215398e+01
2.100000000000000000e+03,1.000000000000000000e+00,-9.420467108256628990e+02,2.967999999999999261e+01,3.119564533233641981e-02,-2.500000000000000000e+02,1.539659798820191661e+01
2.200000000000000000e+03,0.000000000000000000e+00,-9.849290604208574678e+02,2.575999999999999446e+01,2.693071365356445798e-02,-2.294478127596680395e+02,1.542369979978721517e+01
2.300000000000000000e+03,0.000000000000000000e+00,-1.029351625373488559e+03,2.583000000000000185e+01,2.713925838470459054e-02,-1.170014450553679353e+03,1.495579549398825847e+01
2.400000000000000000e+03,0.000000000000000000e+00,-9.546672842831746948e+02,2.783000000000000540e+01,2.920239925384521956e-02,-2.500000000000000000e+02,1.548940821020636527e+01
2.500000000000000000e+03,2.000000000000000000e+00,-9.403243733969649156e+02,2.784999999999999076e+01,2.941383600234985518e-02,-2.294478127596680395e+02,1.468082855439857148e+01
2.600000000000000000e+03,0.000000000000000000e+00,-9.629432439414335931e+02,2.654999999999999716e+01,2.752417564392090760e-02,-2.295827899296311614e+02,1.625192915512852210e+01
2.700000000000000000e+03,1.000000000000000000e+00,-8.806624465069430698e+02,2.914999999999999503e+01,3.038746595382690874e-02,-1.942959586212174372e+02,1.511335120300531365e+01
2.800000000000000000e+03,1.000000000000000000e+00,-9.377506067371499512e+02,2.720000000000000284e+01,2.838243246078491280e-02,-2.295827899296311614e+02,1.514642229820577590e+01
2.900000000000000000e+03,1.000000000000000000e+00,-8.401792737148183505e+02,3.200999999999999091e+01,3.344851732254026933e-02,-2.338860562346959000e+02,1.608343861192531321e+01
3.000000000000000000e+03,0.000000000000000000e+00,-9.112256430276655692e+02,3.117999999999998906e+01,3.248671293258666853e-02,-2.500000000000000000e+02,1.615225677855893593e+01
3.100000000000000000e+03,0.000000000000000000e+00,-9.685853658411897413e+02,2.996000000000000441e+01,3.140035152435303317e-02,-1.158473027666544112e+03,1.578246405021679699e+01
3.200000000000000000e+03,1.000000000000000000e+00,-8.807871051191362994e+02,2.813999999999998636e+01,2.932354688644408722e-02,-2.500000000000000000e+02,1.487153821805404164e+01
3.300000000000000000e+03,0.000000000000000000e+00,-9.904542745942272859e+02,2.810999999999998167e+01,2.945770025253295968e-02,-2.500000000000000000e+02,1.607534922688428125e+01
3.400000000000000000e+03,1.000000000000000000e+00,-9.988700741287332221e+02,2.856999999999998963e+01,2.982638120651245894e-02,-2.500000000000000000e+02,1.577472841181961627e+01
3.500000000000000000e+03,0.000000000000000000e+00,-1.010879356505190458e+03,2.549999999999999645e+01,2.662322759628295982e-02,-2.500000000000000000e+02,1.608691726489787044e+01
3.600000000000000000e+03,1.000000000000000000e+00,-9.808275833933907961e+02,2.867999999999999972e+01,2.984342336654664113e-02,-2.167720716368857268e+02,1.543209308785910849e+01
3.700000000000000000e+03,1.000000000000000000e+00,-9.233118543852102675e+02,3.013999999999998280e+01,3.145313262939452431e-02,-2.500000000000000000e+02,1.547787961366391407e+01
3.800000000000000000e+03,1.000000000000000000e+00,-9.938344683136065214e+02,3.022999999999999332e+01,3.136742115020751953e-02,-2.500000000000000000e+02,1.548499665492544608e+01
3.900000000000000000e+03,0.000000000000000000e+00,-9.691552409680999745e+02,2.878999999999998494e+01,2.997496366500853812e-02,-1.160817247127179598e+03,1.585741666024930474e+01
4.000000000000000000e+03,0.000000000000000000e+00,-9.496555490084413123e+02,3.131999999999999318e+01,3.262615442276001199e-02,-2.500000000000000000e+02,1.600852766023110618e+01
4.100000000000000000e+03,1.000000000000000000e+00,-8.846073871213735629e+02,3.053999999999999559e+01,3.195915699005127258e-02,-2.500000000000000000e+02,1.610993304235746137e+01
4.200000000000000000e+03,1.000000000000000000e+00,-9.256757047935485616e+02,3.025999999999999446e+01,3.156459093093873236e-02,-2.500000000000000000e+02,1.668566502997605738e+01
4.300000000000000000e+03,0.000000000000000000e+00,-8.586345433680883161e+02,3.115999999999998593e+01,3.248118638992310986e-02,-2.500000000000000000e+02,1.580763451390905594e+01
4.400000000000000000e+03,0.000000000000000000e+00,-9.816727061699732531e+02,2.863999999999998991e+01,3.016279458999633276e-02,-2.500000000000000000e+02,1.615425902844895489e+01
4.500000000000000000e+03,0.000000000000000000e+00,-9.257634196760895975e+02,2.906999999999999318e+01,3.032388925552368525e-02,-2.500000000000000000e+02,1.656397163123970273e+01
4.600000000000000000e+03,0.000000000000000000e+00,-8.450429016695394466e+02,3.256999999999998607e+01,3.403995275497436607e-02,-2.500000000000000000e+02,1.657873011515860284e+01
4.700000000000000000e+03,0.000000000000000000e+00,-8.312906255058061333e+02,3.256999999999997897e+01,3.416987419128418579e-02,-2.500000000000000000e+02,1.720081313973631154e+01
4.800000000000000000e+03,0.000000000000000000e+00,-8.695500104596688971e+02,3.122999999999997911e+01,3.250025272369384821e-02,-2.500000000000000000e+02,1.590042240469482770e+01
4.900000000000000000e+03,2.000000000000000000e+00,-8.674702740017612541e+02,3.060999999999997812e+01,3.191747903823852900e-02,-2.500000000000000000e+02,1.644568245431499065e+01
5.000000000000000000e+03,0.000000000000000000e+00,-9.165518412235247752e+02,3.227999999999997272e+01,3.364061832427979459e-02,-2.500000000000000000e+02,1.665798256303914826e+01
5.100000000000000000e+03,1.000000000000000000e+00,-9.843065402951875740e+02,2.916000000000000014e+01,3.038482189178466283e-02,-2.500000000000000000e+02,1.664341642919821140e+01
5.200000000000000000e+03,0.000000000000000000e+00,-9.366937890488997027e+02,3.027999999999998693e+01,3.143968105316161804e-02,-2.500000000000000000e+02,1.667876905805468368e+01
5.300000000000000000e+03,0.000000000000000000e+00,-8.366385695697041456e+02,3.285999999999997812e+01,3.433090448379517295e-02,-2.500000000000000000e+02,1.768444703898913062e+01
5.400000000000000000e+03,0.000000000000000000e+00,-9.384998876787807376e+02,3.039999999999999147e+01,3.161762714385986384e-02,-2.500000000000000000e+02,1.680777943211592174e+01
5.500000000000000000e+03,0.000000000000000000e+00,-8.060205122799723085e+02,3.424999999999998579e+01,3.553827762603761070e-02,-2.500000000000000000e+02,1.661402515652034850e+01
5.600000000000000000e+03,1.000000000000000000e+00,-8.704521148122796603e+02,3.195999999999998309e+01,3.317874670028687217e-02,-2.500000000000000000e+02,1.743130911345308220e+01
5.700000000000000000e+03,0.000000000000000000e+00,-8.433125866352405637e+02,3.438999999999999346e+01,3.591373443603516208e-02,-2.500000000000000000e+02,1.729067577918092269e+01
