# iteration,num_successes,avg_reward,avg_steps,avg_time,policy_reward,avg_dist_to_parking
1.000000000000000000e+02,3.000000000000000000e+00,-7.972053007434819847e+02,3.024000000000000199e+01,3.143562793731689842e-02,-1.381491269561811919e+02,1.269733909094969881e+01
2.000000000000000000e+02,2.000000000000000000e+00,-8.389405134367350456e+02,2.860999999999999588e+01,2.986970186233520175e-02,-1.818483600999943519e+02,1.209611142016487406e+01
3.000000000000000000e+02,1.000000000000000000e+00,-8.778962933326777147e+02,2.889999999999999503e+01,3.007405996322631836e-02,-1.818483600999943519e+02,1.376644494526702189e+01
4.000000000000000000e+02,2.000000000000000000e+00,-8.852681852930767263e+02,3.098000000000000043e+01,3.219625473022460355e-02,-1.818483600999943519e+02,1.288168503332043890e+01
5.000000000000000000e+02,2.000000000000000000e+00,-8.701718903952445316e+02,2.922999999999999332e+01,3.060342311859130110e-02,-1.639993757925558384e+02,1.184321837541438782e+01
6.000000000000000000e+02,2.000000000000000000e+00,-8.956480526764444221e+02,2.966999999999999105e+01,3.110622644424439198e-02,-1.818483600999943519e+02,1.286032467187356154e+01
7.000000000000000000e+02,2.000000000000000000e+00,-8.979112858068647256e+02,2.798000000000000043e+01,2.926370859146117803e-02,-1.818483600999943519e+02,1.262774697850642802e+01
8.000000000000000000e+02,0.000000000000000000e+00,-9.230527727948320944e+02,2.882999999999998764e+01,3.020387887954711220e-02,-1.818483600999943519e+02,1.314438158142418267e+01
9.000000000000000000e+02,2.000000000000000000e+00,-7.643480333580166644e+02,3.236999999999999744e+01,3.371606826782225924e-02,-1.626956922172865632e+02,1.353929154250017497e+01
1.000000000000000000e+03,1.000000000000000000e+00,-9.752142076454044854e+02,2.787999999999998479e+01,2.903023719787597295e-02,-1.818483600999943519e+02,1.359809339145202500e+01
1.100000000000000000e+03,2.000000000000000000e+00,-8.296284275598965223e+02,3.097999999999999687e+01,3.217602014541627586e-02,-1.818483600999943519e+02,1.287957098016975976e+01
1.200000000000000000e+03,2.000000000000000000e+00,-8.869275970183007303e+02,3.096999999999999531e+01,3.223640680313111240e-02,-1.818483600999943519e+02,1.299150772831432299e+01
1.300000000000000000e+03,3.000000000000000000e+00,-7.845410189691561982e+02,3.132999999999998408e+01,3.267256975173950251e-02,-1.081524628227439734e+03,1.327105781151798602e+01
1.400000000000000000e+03,0.000000000000000000e+00,-8.331161387934048435e+02,3.204999999999999716e+01,3.318246603012085100e-02,-1.818483600999943519e+02,1.320610388534966972e+01
1.500000000000000000e+03,1.000000000000000000e+00,-8.820409800578262320e+02,3.072999999999999332e+01,3.193275928497314037e-02,-1.818483600999943519e+02,1.226418850587530507e+01
1.600000000000000000e+03,2.000000000000000000e+00,-8.197378819858525958e+02,3.210999999999998522e+01,3.339357852935789794e-02,-3.987360520972602558e+02,1.322274005450412382e+01
1.700000000000000000e+03,1.000000000000000000e+00,-8.713912351582031306e+02,2.951999999999999957e+01,3.098525762557984009e-02,-1.818483600999943519e+02,1.224433488290547523e+01
1.800000000000000000e+03,1.000000000000000000e+00,-8.672685652644202037e+02,2.920999999999999730e+01,3.066987991333007535e-02,-1.818483600999943519e+02,1.294991432872515524e+01
1.900000000000000000e+03,2.000000000000000000e+00,-8.513894965357698084e+02,3.030999999999998806e+01,3.180333852767943531e-02,-1.818483600999943519e+02,1.317750291467360135e+01
2.000000000000000000e+03,0.000000000000000000e+00,-9.401359393657211285e+02,2.874000000000000554e+01,3.030794382095336817e-02,-1.818483600999943519e+02,1.385749938654046787e+01
2.100000000000000000e+03,1.000000000000000000e+00,-8.321958624861674707e+02,3.185999999999998167e+01,3.330338954925537998e-02,-1.818483600999943519e+02,1.352053072165733916e+01
2.200000000000000000e+03,0.000000000000000000e+00,-9.172471211340024411e+02,2.997999999999999332e+01,3.125313520431517722e-02,-1.818483600999943519e+02,1.258017293553866267e+01
2.300000000000000000e+03,2.000000000000000000e+00,-9.106788288887312319e+02,2.801999999999999602e+01,2.928219556808471513e-02,-1.176702561224341679e+02,1.212169795297034547e+01
2.400000000000000000e+03,0.000000000000000000e+00,-8.528372992037893709e+02,3.166999999999999815e+01,3.288501739501953347e-02,-1.818483600999943519e+02,1.313288740054952974e+01
2.500000000000000000e+03,2.000000000000000000e+00,-8.945705155282183796e+02,2.962999999999998835e+01,3.088506460189818781e-02,-1.818483600999943519e+02,1.255383256367445810e+01
2.600000000000000000e+03,0.000000000000000000e+00,-9.504474707403886669e+02,2.999999999999999289e+01,3.133810043334960688e-02,-1.818483600999943519e+02,1.299924777407077769e+01
2.700000000000000000e+03,1.000000000000000000e+00,-8.410531238700082213e+02,3.002999999999999048e+01,3.118688821792602039e-02,-1.818483600999943519e+02,1.347664025447009806e+01
2.800000000000000000e+03,4.000000000000000000e+00,-8.162050201829086973e+02,3.101999999999999957e+01,3.244930267333983459e-02,-1.818483600999943519e+02,1.186460767352346224e+01
2.900000000000000000e+03,2.000000000000000000e+00,-7.552050213166863841e+02,3.195999999999999375e+01,3.324922561645507479e-02,-1.818483600999943519e+02,1.266120897882148633e+01
3.000000000000000000e+03,2.000000000000000000e+00,-8.921916323158309297e+02,2.963999999999999702e+01,3.093255996704101507e-02,-1.160492822447735762e+03,1.146939284341094734e+01
3.100000000000000000e+03,3.000000000000000000e+00,-7.540273110137285357e+02,3.444999999999998863e+01,3.589836835861206360e-02,-1.463723104238154065e+02,1.188385120678438334e+01
3.200000000000000000e+03,2.000000000000000000e+00,-7.958235366135339746e+02,3.140999999999997527e+01,3.281246900558470320e-02,-1.818483600999943519e+02,1.206277346982200527e+01
3.300000000000000000e+03,3.000000000000000000e+00,-8.687512206661866685e+02,2.950999999999998380e+01,3.088980197906493821e-02,-1.818483600999943519e+02,1.253639584510888483e+01
3.400000000000000000e+03,2.000000000000000000e+00,-8.412336991388679053e+02,3.052999999999999403e+01,3.176331520080565712e-02,-1.818483600999943519e+02,1.299830423289347792e+01
3.500000000000000000e+03,2.000000000000000000e+00,-8.384424812793919273e+02,3.135000000000000497e+01,3.248322486877441156e-02,-1.818483600999943519e+02,1.320784117339879238e+01
3.600000000000000000e+03,2.000000000000000000e+00,-8.013000267412589892e+02,3.010999999999998167e+01,3.125602960586548740e-02,-1.818483600999943519e+02,1.195879430903913843e+01
3.700000000000000000e+03,2.000000000000000000e+00,-8.310604643982632069e+02,3.178999999999999204e+01,3.325681686401368853e-02,-1.818483600999943519e+02,1.219427347886121282e+01
3.800000000000000000e+03,4.000000000000000000e+00,-8.288707975301290389e+02,2.765999999999999304e+01,2.886511325836181585e-02,-1.077089555106375428e+03,1.261923198121299627e+01
3.900000000000000000e+03,0.000000000000000000e+00,-9.039150528199750170e+02,2.815999999999999304e+01,2.972207546234131165e-02,-1.107809405092019460e+03,1.225847242807646076e+01
4.000000000000000000e+03,0.000000000000000000e+00,-8.927146242167973469e+02,2.892999999999999616e+01,3.008214712142944641e-02,-1.167807592526564804e+03,1.414926816921725106e+01
4.100000000000000000e+03,1.000000000000000000e+00,-1.019745389102930744e+03,2.074999999999999645e+01,2.162825822830201361e-02,-1.159715429957437209e+03,1.204202409745925983e+01
4.200000000000000000e+03,1.000000000000000000e+00,-7.344928696027898241e+02,3.290999999999999659e+01,3.444261074066162082e-02,-1.818483600999943519e+02,1.337236161073589891e+01
4.300000000000000000e+03,0.000000000000000000e+00,-8.377215619550208885e+02,3.053999999999999915e+01,3.191071748733519814e-02,-1.537797398879404795e+02,1.261891891494772899e+01
4.400000000000000000e+03,1.000000000000000000e+00,-8.643281844599783881e+02,2.855999999999998806e+01,2.985846996307372700e-02,-1.818483600999943519e+02,1.244670272527101673e+01
4.500000000000000000e+03,3.000000000000000000e+00,-7.793742861588240203e+02,3.189999999999998437e+01,3.312855720520020003e-02,-1.818483600999943519e+02,1.232902948718728453e+01
4.600000000000000000e+03,2.000000000000000000e+00,-6.949179273742680607e+02,3.652999999999998693e+01,3.771633148193359597e-02,-1.467753497261034852e+02,1.173654649574354991e+01
4.700000000000000000e+03,1.000000000000000000e+00,-8.197860512314859989e+02,3.061999999999999389e+01,3.188532114028929526e-02,-1.818483600999943519e+02,1.145196199857825725e+01
4.800000000000000000e+03,2.000000000000000000e+00,-8.122424719736638963e+02,2.820999999999999730e+01,2.936121702194214103e-02,-1.083849349139848755e+03,1.159939552949302133e+01
