# iteration,num_successes,avg_reward,avg_steps,avg_time,policy_reward,avg_dist_to_parking
1.000000000000000000e+02,0.000000000000000000e+00,-8.776776804013334186e+02,2.957999999999999474e+01,3.071124076843260997e-02,-1.192046613966188488e+03,1.269394628758775134e+01
2.000000000000000000e+02,3.000000000000000000e+00,-8.960578235345973326e+02,2.918999999999999773e+01,3.032411098480225498e-02,-1.133741952017843744e+02,1.345285474447318208e+01
3.000000000000000000e+02,1.000000000000000000e+00,-9.032572065021582830e+02,3.128999999999998849e+01,3.249243259429931280e-02,-1.068881782904837564e+03,1.317866165604519324e+01
4.000000000000000000e+02,2.000000000000000000e+00,-8.400274358327629898e+02,3.077000000000000313e+01,3.189532518386840876e-02,-1.133741952017843744e+02,1.237274652755119497e+01
5.000000000000000000e+02,1.000000000000000000e+00,-8.845764069503602514e+02,3.015999999999999659e+01,3.138606548309325756e-02,-1.155361004556388252e+03,1.184690575870330420e+01
6.000000000000000000e+02,0.000000000000000000e+00,-9.271976016862465713e+02,2.936999999999999034e+01,3.048110485076904741e-02,-1.089463082966783759e+03,1.261556995124738201e+01
7.000000000000000000e+02,0.000000000000000000e+00,-8.837217667764949738e+02,2.997999999999999687e+01,3.154266357421874750e-02,-1.133741952017843744e+02,1.232737307965831342e+01
8.000000000000000000e+02,0.000000000000000000e+00,-8.721999078520152580e+02,2.907999999999998764e+01,3.024775505065918288e-02,-1.133741952017843744e+02,1.318074324227855065e+01
9.000000000000000000e+02,0.000000000000000000e+00,-8.598794565400846750e+02,3.018000000000000682e+01,3.133560657501219954e-02,-1.133741952017843744e+02,1.283503419341944429e+01
1.000000000000000000e+03,1.000000000000000000e+00,-8.560846298380124608e+02,3.058999999999998920e+01,3.170928001403809648e-02,-1.133741952017843744e+02,1.255670303800603982e+01
1.100000000000000000e+03,0.000000000000000000e+00,-8.973042221806351790e+02,2.846999999999999531e+01,2.964967012405395411e-02,-1.133741952017843744e+02,1.168625382607420526e+01
1.200000000000000000e+03,1.000000000000000000e+00,-9.260924545479475682e+02,2.891999999999999105e+01,2.998887300491333632e-02,-1.210232782849383057e+03,1.180560392285732085e+01
1.300000000000000000e+03,0.000000000000000000e+00,-9.377847310091489135e+02,2.742000000000000171e+01,2.842925071716308899e-02,-1.133741952017843744e+02,1.170424051440152979e+01
1.400000000000000000e+03,0.000000000000000000e+00,-9.040937268926894603e+02,2.879999999999999005e+01,2.996168851852416826e-02,-1.133741952017843744e+02,1.327795810492683337e+01
1.500000000000000000e+03,0.000000000000000000e+00,-8.732085536196118483e+02,3.105999999999999162e+01,3.207268476486205278e-02,-1.166564227235695171e+03,1.318731871912621401e+01
1.600000000000000000e+03,1.000000000000000000e+00,-9.069452855900200348e+02,2.842000000000000171e+01,2.945103168487547482e-02,-1.133741952017843744e+02,1.254139567270918576e+01
